VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
9.5,1.9514e-05,-1.124e-12,-1.9516e-05,5.125
9.5,1.9309e-05,-3e-13,-1.9308e-05,5.0
9.5,1.9091e-05,9.16e-13,-1.9091e-05,4.875
9.5,1.8865e-05,-1.732e-12,-1.8864e-05,4.75
9.5,1.8632e-05,-9.68e-13,-1.8627e-05,4.625
9.5,1.8382e-05,7.58e-13,-1.8374e-05,4.5
9.5,1.8128e-05,-9.12e-13,-1.8121e-05,4.375
9.5,1.7847e-05,-5.4e-14,-1.7846e-05,4.25
9.5,1.7565e-05,-7.14e-13,-1.7567e-05,4.125
9.5,1.7277e-05,4.44e-13,-1.7275e-05,4.0
9.5,1.6974e-05,-1.08e-12,-1.6966e-05,3.875
9.5,1.6653e-05,-1.358e-12,-1.6645e-05,3.75
9.5,1.6308e-05,5.14e-13,-1.6312e-05,3.625
9.5,1.5971e-05,3.8e-14,-1.5965e-05,3.5
9.5,1.5616e-05,1.674e-12,-1.5605e-05,3.375
9.5,1.5233e-05,-5.06e-13,-1.5236e-05,3.25
9.5,1.4846e-05,-9.16e-13,-1.4851e-05,3.125
9.5,1.4451e-05,1.76e-13,-1.4444e-05,3.0
9.5,1.4028e-05,3.06e-13,-1.403e-05,2.875
9.5,1.3601e-05,-9.72e-13,-1.36e-05,2.75
9.5,1.3152e-05,-1.05e-12,-1.3156e-05,2.625
9.5,1.2694e-05,-1.244e-12,-1.269e-05,2.5
9.5,1.2218e-05,5.72e-13,-1.2216e-05,2.375
9.5,1.1721e-05,4.24e-13,-1.1722e-05,2.25
9.5,1.1218e-05,8.7e-13,-1.1215e-05,2.125
9.5,1.0695e-05,5.06e-13,-1.0694e-05,2.0
9.5,1.0152e-05,-5.28e-13,-1.0155e-05,1.875
9.5,9.5952e-06,-1.14e-13,-9.5945e-06,1.75
9.5,9.0227e-06,-7.14e-13,-9.0224e-06,1.625
9.5,8.433e-06,-1.2e-13,-8.4329e-06,1.5
9.5,7.8287e-06,-9.34e-13,-7.8303e-06,1.375
9.5,7.202e-06,8.2e-14,-7.2058e-06,1.25
9.5,6.5648e-06,6.92e-13,-6.5631e-06,1.125
9.5,5.9061e-06,5.2e-14,-5.9058e-06,1.0
9.5,5.2299e-06,1.08e-13,-5.228e-06,0.875
9.5,4.5393e-06,1.052e-12,-4.5405e-06,0.75
9.5,3.8288e-06,2.016e-12,-3.8283e-06,0.625
9.5,3.0981e-06,7.38e-13,-3.099e-06,0.5
9.5,2.3517e-06,2.392e-12,-2.3501e-06,0.375
9.5,1.5845e-06,1.36e-13,-1.5842e-06,0.25
9.5,7.9983e-07,-7.8e-14,-7.9928e-07,0.125
9.5,2.21486e-09,7.84e-13,-2.25862e-09,0.0
9.0,2.30528e-09,-8.98e-13,-2.27596e-09,0.0
9.0,7.1893e-07,-7.38e-13,-7.199e-07,0.125
9.0,1.4226e-06,9.4e-13,-1.4216e-06,0.25
9.0,2.1061e-06,-1.64e-12,-2.1077e-06,0.375
9.0,2.7732e-06,-2.32e-12,-2.7743e-06,0.5
9.0,3.4213e-06,-9.86e-13,-3.4231e-06,0.625
9.0,4.0533e-06,-1.42e-13,-4.0528e-06,0.75
9.0,4.6632e-06,-1.082e-12,-4.6625e-06,0.875
9.0,5.2592e-06,-1.15e-12,-5.2566e-06,1.0
9.0,5.8364e-06,9.26e-13,-5.8379e-06,1.125
9.0,6.3977e-06,-1.384e-12,-6.4004e-06,1.25
9.0,6.9416e-06,-1.056e-12,-6.946e-06,1.375
9.0,7.4686e-06,-2.74e-13,-7.469e-06,1.5
9.0,7.9815e-06,-9.76e-13,-7.9814e-06,1.625
9.0,8.4755e-06,-5.02e-13,-8.4759e-06,1.75
9.0,8.9519e-06,-1.304e-12,-8.9552e-06,1.875
9.0,9.4149e-06,-1.112e-12,-9.4162e-06,2.0
9.0,9.8637e-06,-1.004e-12,-9.8654e-06,2.125
9.0,1.02954e-05,-5.2e-14,-1.02967e-05,2.25
9.0,1.07122e-05,3.56e-13,-1.07167e-05,2.375
9.0,1.11175e-05,-7.6e-14,-1.11174e-05,2.5
9.0,1.1505e-05,1.2e-13,-1.1506e-05,2.625
9.0,1.1875e-05,-6.44e-13,-1.188e-05,2.75
9.0,1.2235e-05,-1.21e-12,-1.2239e-05,2.875
9.0,1.2578e-05,-2.54e-13,-1.2578e-05,3.0
9.0,1.2911e-05,-4.62e-13,-1.2912e-05,3.125
9.0,1.3228e-05,-2.96e-13,-1.3226e-05,3.25
9.0,1.3532e-05,-1.204e-12,-1.3533e-05,3.375
9.0,1.3822e-05,6.62e-13,-1.3824e-05,3.5
9.0,1.41e-05,-7.28e-13,-1.4103e-05,3.625
9.0,1.4369e-05,-3.548e-12,-1.4373e-05,3.75
9.0,1.4624e-05,-1.058e-12,-1.4624e-05,3.875
9.0,1.4856e-05,-5.2e-14,-1.4866e-05,4.0
9.0,1.5101e-05,-1.68e-12,-1.5095e-05,4.125
9.0,1.5315e-05,-7.9e-13,-1.5319e-05,4.25
9.0,1.5531e-05,-4.68e-13,-1.553e-05,4.375
9.0,1.5727e-05,-5.6e-13,-1.5732e-05,4.5
9.0,1.5917e-05,-1.252e-12,-1.5925e-05,4.625
9.0,1.6101e-05,-1.094e-12,-1.6107e-05,4.75
9.0,1.6265e-05,-1.064e-12,-1.627e-05,4.875
9.0,1.6429e-05,-7.52e-13,-1.6431e-05,5.0
9.0,1.6586e-05,6.4e-14,-1.6587e-05,5.125
9.0,1.6731e-05,4.66e-13,-1.6727e-05,5.25
9.0,1.6866e-05,-1.8e-13,-1.6871e-05,5.375
9.0,1.7e-05,-4.7e-13,-1.7003e-05,5.5
9.0,1.713e-05,-1.386e-12,-1.7132e-05,5.625
9.0,1.7243e-05,-1.4e-14,-1.7249e-05,5.75
9.0,1.7355e-05,-5.84e-13,-1.7351e-05,5.875
9.0,1.7452e-05,-8.6e-13,-1.7458e-05,6.0
9.0,1.7553e-05,-6.32e-13,-1.7552e-05,6.125
9.0,1.764e-05,-8.74e-13,-1.7641e-05,6.25
9.0,1.7739e-05,-9.28e-13,-1.774e-05,6.375
9.0,1.7824e-05,-5.56e-13,-1.783e-05,6.5
9.0,1.7905e-05,-2.6e-14,-1.7899e-05,6.625
9.0,1.798e-05,-7.8e-14,-1.7984e-05,6.75
9.0,1.8053e-05,-9.66e-13,-1.8062e-05,6.875
9.0,1.8121e-05,-1.096e-12,-1.8125e-05,7.0
9.0,1.8187e-05,1.84e-13,-1.8191e-05,7.125
9.0,1.8254e-05,-5e-13,-1.8248e-05,7.25
9.0,1.8303e-05,-1.112e-12,-1.8312e-05,7.375
9.0,1.8372e-05,-7.98e-13,-1.8383e-05,7.5
9.0,1.8428e-05,-3.2e-14,-1.8422e-05,7.625
9.0,1.847e-05,-8.4e-13,-1.8482e-05,7.75
9.0,1.8524e-05,-8.52e-13,-1.854e-05,7.875
9.0,1.8576e-05,-4.5e-13,-1.8589e-05,8.0
9.0,1.8633e-05,2.7e-13,-1.8632e-05,8.125
9.0,1.8678e-05,-6.82e-13,-1.8682e-05,8.25
9.0,1.8718e-05,-1.34e-13,-1.8721e-05,8.375
9.0,1.8772e-05,-3.14e-13,-1.877e-05,8.5
9.0,1.8808e-05,-1.022e-12,-1.8815e-05,8.625
9.0,1.8841e-05,-2.46e-13,-1.8854e-05,8.75
9.0,1.8882e-05,-9.14e-13,-1.8895e-05,8.875
9.0,1.8928e-05,3.2e-14,-1.8934e-05,9.0
9.0,1.8975e-05,-1.4e-12,-1.8979e-05,9.125
9.0,1.9013e-05,-7.5e-13,-1.9021e-05,9.25
9.0,1.9062e-05,-1.32e-13,-1.9055e-05,9.375
9.0,1.9094e-05,-6.22e-13,-1.9094e-05,9.5
9.0,1.9126e-05,-4.72e-13,-1.9131e-05,9.625
9.0,1.9165e-05,-1.016e-12,-1.917e-05,9.75
9.0,1.9199e-05,-1.08e-13,-1.9209e-05,9.875
9.0,1.9242e-05,-4.48e-13,-1.9247e-05,10.0
9.0,1.9242e-05,-3.4e-14,-1.9255e-05,10.0
9.0,1.9226e-05,2.8e-13,-1.9229e-05,9.875
9.0,1.9184e-05,6.16e-13,-1.9195e-05,9.75
9.0,1.9164e-05,1.58e-13,-1.9172e-05,9.625
9.0,1.9131e-05,-1.6e-14,-1.9137e-05,9.5
9.0,1.9098e-05,5.78e-13,-1.9103e-05,9.375
9.0,1.9067e-05,2.6e-13,-1.9073e-05,9.25
9.0,1.9033e-05,-9e-14,-1.9043e-05,9.125
9.0,1.9007e-05,-3.3e-13,-1.8999e-05,9.0
9.0,1.8967e-05,8.22e-13,-1.8971e-05,8.875
9.0,1.8929e-05,-7.78e-13,-1.893e-05,8.75
9.0,1.8896e-05,-7.6e-14,-1.8893e-05,8.625
9.0,1.885e-05,6.8e-14,-1.8854e-05,8.5
